AUS,Australia,0
AUT,Austria,1
BEL,Belgium,1
BGR,Bulgaria,0
BRA,Brazil,1
CAN,Canada,1
CHE,Switzerland,1
CHN,China,0
CYP,Cyprus,0
CZE,Czechia,0
DEU,Germany,1
DNK,Denmark,1
ESP,Spain,1
EST,Estonia,1
FIN,Finland,1
FRA,France,1
GBR,United Kingdom of Great Britain and Northern Ireland (the),1
GRC,Greece,0
HRV,Croatia,0
HUN,Hungary,0
IDN,Indonesia,0
IND,India,0
IRL,Ireland,1
ITA,Italy,1
JPN,Japan,0
KOR,Korea (the Republic of),0
LTU,Lithuania,0
LUX,Luxembourg,1
LVA,Latvia,0
MEX,Mexico,1
MLT,Malta,1
NLD,Netherlands (the),1
NOR,Norway,1
POL,Poland,0
PRT,Portugal,1
ROU,Romania,1
RUS,Russian Federation (the),1
SVK,Slovakia,0
SVN,Slovenia,0
SWE,Sweden,1
TUR,Turkey,1
TWN,Taiwan (Province of China),0
USA,United States of America (the),1
ROW,Rest of World,0
