,,AUS,AUT,BEL,BGR,BRA,CAN,CHE,CHN,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,POL,PRT,ROU,RUS,SVK,SVN,SWE,TUR,TWN,USA,ROW
AUS,A01,13021.26727,0.57662538,5.958930653,0.005173343,0.799889846,12.51230895,3.810058661,216.2976174,0.012412593,0.305044576,43.0405506,1.591055164,34.35994405,0.012433479,0.112965778,12.86249412,14.81515243,1.710072441,0.280570149,0.008824356,61.70468795,130.711235,0.611497835,25.7925676,90.10416967,22.89870236,0.012454853,0.717617461,0.010812391,1.202891238,0.020734963,3.009422664,4.686514024,3.504507199,1.782173646,0.075551234,5.479555776,0.013591945,0.027262071,6.504802591,7.394185179,21.97091662,57.63308576,757.877499
AUS,A02,257.4766103,0.001655351,0.00196665,0.000134148,0.184276297,0.576571094,0.157179871,0.116699176,4.44184E-05,0.001987304,0.061468257,0.001871937,0.004257984,5.63201E-05,0.000477117,0.018289281,0.044768031,0.000144931,5.51933E-05,0.000239363,0.012630512,0.00581633,0.005656712,0.049536747,0.131592911,0.049926683,1.71202E-05,3.69763E-05,7.36881E-05,0.063410968,3.71694E-05,0.042521812,0.00275967,0.001562087,0.000316338,0.001525727,0.002631086,5.84666E-05,8.00303E-05,0.00359659,0.000697166,0.572744638,15.30608007,0.424362318
AUS,A03,1442.014903,0.001036449,0.001162083,5.23132E-05,0.139786959,0.01079244,0.09686871,4.439956673,2.0148E-05,0.000265509,0.007050346,0.000904464,0.038588025,2.42802E-05,0.000204531,0.017655772,0.021243206,0.001799096,2.06599E-05,0.000107502,0.058760272,0.001925923,0.002277704,0.687341195,0.27036158,0.024640703,5.69846E-06,2.4556E-05,3.79917E-05,0.011339962,1.38088E-05,0.011262225,0.226259726,0.000533077,0.004843803,0.000523786,0.267694951,2.15478E-05,3.1649E-05,0.002261413,0.000303457,0.396465982,0.325774209,404.4047135
AUS,B,10339.17894,0.141408116,0.374923119,0.025856301,1.329323803,1.693166398,1.081110091,303.6856647,0.003695397,0.039099836,56.4045444,0.236700816,0.553107028,0.007389424,0.043251754,1.682151983,39.1075264,0.051032417,0.006117072,0.035583998,1.909765556,1.671852504,0.091180108,0.69113017,5.357723612,2.06406446,0.001890434,0.003780702,0.00533301,0.204118833,0.004377106,4.967226504,0.203186406,0.22335352,0.024726658,0.170968007,0.284613897,0.010307312,0.013133599,0.313900646,0.081894944,1.041046581,12.96373496,34.91775755
AUS,C10-C12,30139.50348,3.317939081,24.29880359,0.271960354,48.2488999,542.8044149,61.82403129,2049.417368,0.954989749,1.976764962,76.29979067,23.75566835,4.291115275,1.580879113,14.26810434,29.14197505,465.3353702,0.463501688,0.061731801,0.076517095,455.2639299,17.93627961,5.143237715,65.76040959,2972.001182,918.9981803,0.1028937,0.230090704,1.427933781,40.78500079,1.424618128,89.13580131,7.714232232,4.533145207,0.118531375,1.114852361,92.87428722,0.12957276,1.212214147,19.15437546,3.954830915,377.9244931,2199.364452,4858.626245
AUS,C13-C15,1463.013271,1.347169642,0.188657282,0.053163421,0.375319737,9.096553223,0.996066451,38.07160405,0.134502265,0.046887183,4.175333235,0.419211424,0.379615122,0.042369733,0.457356675,1.165158801,20.84746833,0.429693951,0.032666679,0.098439316,2.422386565,1.783524537,0.562643999,6.140897061,18.70668717,9.637695792,0.077110537,0.127314037,0.019788275,0.625933396,0.068018723,3.194181775,2.20605342,21.50170337,0.078618396,0.109243857,28.13810769,0.050797167,1.16332974,7.530597701,0.875751676,2.873229122,69.36744862,348.9777985
AUS,C16,-505.443591,0.095281977,0.08060253,0.003826369,0.242707597,1.032207275,0.319482281,3.559820645,0.002939337,0.024822244,2.197871377,0.380847351,0.065198868,0.001186048,0.014937831,0.402955516,2.054272876,0.013157549,0.001640356,0.022600532,0.170928965,0.966850059,0.039317417,0.136853035,3.978267622,0.383823651,0.001022472,0.008854366,0.000545136,0.102269218,0.003725122,2.583210195,0.052717356,0.074895493,0.008899605,0.017557037,0.069620408,0.001761191,0.007603729,0.062770517,0.126427,0.659135337,9.494975602,0.829925507
AUS,C17,1672.124901,0.084630534,0.023382061,0.016456596,0.307370472,0.717962079,0.103714097,3.39102295,0.008412161,0.006675157,0.357528494,0.033420657,0.058178335,0.003843791,0.126090601,0.130735908,1.839565661,0.029000257,0.002876437,0.142822339,0.498847404,0.166658955,0.091000678,0.391825952,1.669762314,0.781299859,0.019429344,0.007670473,0.001985042,0.065476692,0.004310019,0.353492222,0.459923484,1.247336756,0.38751321,0.029051583,1.631518542,0.048971268,0.105273134,1.882514311,0.205316063,1.419641808,5.205599239,48.42687013
AUS,C18,832.3146507,0.044547176,0.045970492,0.018301564,0.790129946,0.863643969,0.724294616,19.56865178,0.002465685,0.007355306,0.479329179,0.053104528,0.437601182,0.002794122,0.01602716,1.419111579,0.751136313,0.01509724,0.001767144,0.0069409,1.135044832,0.164627165,0.070405096,0.604561916,1.260850438,0.514143929,0.001662714,0.002680417,0.001644534,0.048969146,0.001746467,0.418075114,0.111752146,0.364184736,0.017887753,0.053606558,0.394978274,0.002918107,0.022166387,0.166693851,0.031261864,0.263238919,9.036899899,-0.000439444
AUS,C19,6408.197595,0.007380389,0.023271418,0.002249972,0.078056294,0.194416235,0.072495176,4.361104204,0.004945137,0.003059798,0.162173627,1.471131407,0.074576411,0.000541595,0.007383475,0.145099873,0.230059882,0.003115157,0.000520565,0.000630401,10.78668799,0.187340426,0.009657717,0.068853811,7.741050174,1.309294289,0.000188795,0.000424221,0.000449397,0.025924354,0.000392792,0.067851889,0.014112439,0.020345962,0.002066723,0.016975739,0.036642738,0.000652099,0.031655987,0.01326422,0.010823387,33.02318114,1.266379891,320.121886
AUS,C20,3131.606172,0.117243504,0.236346274,0.036930786,1.496073483,1.618201597,1.314665077,22.6531373,0.127279339,0.546969646,7.006513063,3.394386587,0.689060661,0.048518619,0.363710918,2.133512387,38.05648513,1.91713546,0.02919765,0.019593702,15.51755169,16.39615029,2.711817442,2.507868719,20.43793471,19.12516338,0.123745246,0.008325891,0.195400213,1.512663116,0.335236141,1.501482585,5.721993805,0.934679105,0.417101099,0.088313618,3.289817265,0.118605499,0.172282408,1.84362411,1.79984326,4.026961216,67.8260275,316.6019265
AUS,C21,4694.498612,0.079542988,1.20382408,1.377295789,6.813179921,26.00381494,0.276920981,203.0736622,0.089785523,2.146484367,13.70810374,0.12929806,23.65915382,0.012943057,1.447392047,15.52063828,6.373740121,0.192623005,0.053462303,0.164434021,13.34937321,1.320651763,1.669921096,1.109382092,5.277399556,46.12296739,0.003052201,0.001410497,0.005043512,1.697786008,0.094824393,2.518807204,4.844353586,8.737192818,0.01646071,0.540038316,0.127977206,0.716188713,0.166524946,0.194332068,0.057485482,49.52741886,54.40572337,233.5427296
